symbol;nazwa;opisObejmujeNieobejmuje;id;opis
10.81;Produkcja cukru;;183;Produkcja cukru
10.81.Z;Produkcja cukru;10.81.Z Podklasa ta obejmuje: produkcję i rafinację cukru (sacharozy) oraz substytutów cukru, z buraków, trzciny cukrowej, klonu i palmy, produkcję syropów cukrowych, produkcję melasy, produkcję syropu i cukru klonowego. Podklasa ta nie obejmuje: produkcji glukozy, syropu glukozowego, maltozy, sklasyfikowanej w 10.62.Z.;184;Produkcja cukru
10.82;Produkcja kakao, czekolady i wyrobów cukierniczych;;185;Produkcja kakao, czekolady i wyrobów cukierniczych
10.82.Z;Produkcja kakao, czekolady i wyrobów cukierniczych;10.82.Z Podklasa ta obejmuje: produkcję kakao, masła kakaowego, tłuszczu i oleju kakaowego, produkcję czekolady i wyrobów czekoladowych, produkcję wyrobów cukierniczych, takich jak: cukierki, karmelki, drażetki, pastylki, nugaty, pomadki, biała czekolada, produkcję gumy do żucia, konserwowanie w cukrze owoców i orzechów, skórek owocowych i pozostałych części roślin. Podklasa ta nie obejmuje: produkcji sacharozy, sklasyfikowanej w 10.81.Z.;186;Produkcja kakao, czekolady i wyrobów cukierniczych
10.83;Przetwórstwo herbaty i kawy;;187;Przetwórstwo herbaty i kawy
10.83.Z;Przetwórstwo herbaty i kawy;10.83.Z Podklasa ta obejmuje: dekofeinizację i prażenie kawy, produkcję wyrobów kawowych: kawy mielonej, kawy rozpuszczalnej, ekstraktów i koncentratów kawy, produkcję substytutów kawy, produkcję mieszanek różnych gatunków herbaty oraz mieszanek herbaty maté (herbaty paragwajskiej), produkcję ekstraktów i preparatów z herbaty lub maté (herbaty paragwajskiej), produkcję herbat ziołowych (mięty, werbeny pospolitej, rumianku itp.). Podklasa ta nie obejmuje: produkcji inuliny, sklasyfikowanej w 10.62.Z, produkcji napojów, sklasyfikowanej w odpowiednich podklasach działu 11, przygotowania produktów roślinnych dla celów farmaceutycznych, sklasyfikowanego w 21.20.Z.;188;Przetwórstwo herbaty i kawy
10.84;Produkcja przypraw;;189;Produkcja przypraw
10.84.Z;Produkcja przypraw;10.84.Z Podklasa ta obejmuje: produkcję przypraw, sosów i podobnych dodatków do potraw, takich jak: majonez, mąka i mączka musztardowa, gotowa musztarda itp., produkcję octu, produkcję soli kuchennej, włączając sól jodowaną. Podklasa ta nie obejmuje: uprawy roślin przyprawowych, sklasyfikowanej w 01.28.Z.;190;Produkcja przypraw
10.85;Wytwarzanie gotowych posiłków i dań;;191;Wytwarzanie gotowych posiłków i dań
10.85.Z;Wytwarzanie gotowych posiłków i dań;10.85.Z Podklasa ta obejmuje produkcję gotowych (tj. przygotowanych, przyprawionych i ugotowanych) posiłków i dań, zamrożonych lub w puszkach, składających się co najmniej z dwóch różnych składników (z wyłączeniem przypraw itp.), które zwykle są pakowane i etykietowane z przeznaczeniem na sprzedaż. Podklasa ta obejmuje: produkcję dań z mięsa lub drobiu, produkcję dań rybnych, włączając rybę i frytki, produkcję gotowych dań z warzyw, produkcję gotowych dań zawierających kuskus lub wyroby mączne, produkcję pizzy, zamrożonej lub inaczej zakonserwowanej, produkcję dań regionalnych i narodowych. Podklasa ta nie obejmuje: produkcji świeżej żywności lub żywności składającej się z mniej niż dwóch składników, sklasyfikowanej w odpowiednich podklasach działu 10, produkcji gotowej żywności łatwo psującej się, sklasyfikowanej w 10.89.Z, sprzedaży detalicznej gotowych posiłków i dań w sklepach, sklasyfikowanej w 47.11.Z, 47.29.Z, sprzedaży hurtowej gotowych posiłków i dań, sklasyfikowanej w 46.38.Z, przygotowywania posiłków do bezpośredniego spożycia, sklasyfikowanego w odpowiednich podklasach działu 56, działalności związanej z dostawą żywności, wykonywanej na podstawie umowy, sklasyfikowanej w 56.29.Z.;192;Wytwarzanie gotowych posiłków i dań
10.86;Produkcja artykułów spożywczych homogenizowanych i żywności dietetycznej;;193;Produkcja artykułów spożywczych homogenizowanych i żywności dietetycznej
10.86.Z;Produkcja artykułów spożywczych homogenizowanych i żywności dietetycznej;10.86.Z Podklasa ta obejmuje produkcję specjalnej żywności, takiej jak: żywność dla niemowląt, żywność będąca pochodną mleka i pozostałych artykułów spożywczych, żywność dla dzieci, żywność niskokaloryczna i o zmniejszonej kaloryczności dla utrzymania właściwego ciężaru ciała, żywność dietetyczna zalecana do stosowania przy leczeniu schorzeń, żywność o niskiej zawartości sodu (lub bez sodu), zawierająca sole mineralne, żywność bezglutenowa, żywność zalecana przy zwiększonym wysiłku fizycznym, w szczególności dla sportowców, żywność dla diabetyków.;194;Produkcja artykułów spożywczych homogenizowanych i żywności dietetycznej
10.89;Produkcja pozostałych artykułów spożywczych, gdzie indziej niesklasyfikowana;;195;Produkcja pozostałych artykułów spożywczych, gdzie indziej niesklasyfikowana
10.89.Z;Produkcja pozostałych artykułów spożywczych, gdzie indziej niesklasyfikowana;10.89.Z Podklasa ta obejmuje: produkcję zup i bulionów (rosołów), produkcję miodu sztucznego i karmelu, produkcję gotowej żywności łatwo psującej się, takiej jak: kanapki, świeża (nieupieczona) pizza, produkcję suplementów żywności i pozostałych artykułów spożywczych, gdzie indziej niesklasyfikowaną, produkcję drożdży, produkcję soków i ekstraktów z mięsa, ryb, skorupiaków i mięczaków, produkcję substytutów artykułów mlecznych i serowych, produkcję wyrobów z jaj, albuminę jaja, produkcję sztucznych koncentratów spożywczych. Podklasa ta nie obejmuje: produkcji łatwo psujących się gotowych potraw z owoców i warzyw, sklasyfikowanej w 10.39.Z, produkcji mrożonej lub inaczej zakonserwowanej pizzy, sklasyfikowanej w 10.85.Z, produkcji napojów, sklasyfikowanej w odpowiednich podklasach działu 11.;196;Produkcja pozostałych artykułów spożywczych, gdzie indziej niesklasyfikowana
10.91;Produkcja gotowej paszy dla zwierząt gospodarskich;;198;Produkcja gotowej paszy dla zwierząt gospodarskich
10.91.Z;Produkcja gotowej paszy dla zwierząt gospodarskich;10.91.Z Podklasa ta obejmuje: produkcję gotowej paszy dla zwierząt gospodarskich i ryb, włączając produkcję koncentratów paszowych i dodatków paszowych, przygotowywanie pasz jednoskładnikowych, przetwarzanie odpadów poubojowych do produkcji pasz. Podklasa ta nie obejmuje: produkcji mączki rybnej przeznaczonej do karmienia zwierząt, sklasyfikowanej w 10.20.Z, wytwarzania makuchów z nasion roślin oleistych, sklasyfikowanego w 10.41.Z, wytwarzania produktów ubocznych, stosowanych bez specjalnego przetworzenia, jako karma dla zwierząt, np. z nasion oleistych, sklasyfikowanego w 10.41.Z, z przemiału zbóż, sklasyfikowanego w 10.61.Z itp.;199;Produkcja gotowej paszy dla zwierząt gospodarskich
10.92;Produkcja gotowej karmy dla zwierząt domowych;;200;Produkcja gotowej karmy dla zwierząt domowych
10.92.Z;Produkcja gotowej karmy dla zwierząt domowych;10.92.Z Podklasa ta obejmuje: produkcję gotowej karmy dla zwierząt domowych (psów, kotów, ptaków, rybek itp.), przetwarzanie odpadów poubojowych do produkcji pasz dla zwierząt domowych. Podklasa ta nie obejmuje: produkcji mączki rybnej przeznaczonej do karmienia zwierząt, sklasyfikowanej w 10.20.Z, wytwarzania makuchów z nasion roślin oleistych, sklasyfikowanego w 10.41.Z, wytwarzania produktów ubocznych, stosowanych bez specjalnego przetworzenia, jako karma dla zwierząt, np. z nasion oleistych, sklasyfikowanego w 10.41.Z, z przemiału zbóż, sklasyfikowanego w 10.61.Z itp.;201;Produkcja gotowej karmy dla zwierząt domowych
11.01;Destylowanie, rektyfikowanie i mieszanie alkoholi;;204;Destylowanie, rektyfikowanie i mieszanie alkoholi
11.01.Z;Destylowanie, rektyfikowanie i mieszanie alkoholi;"11.01.Z Podklasa ta obejmuje: produkcję napojów alkoholowych, takich jak: wódka, whisky, brandy, gin, likiery itp., produkcję destylowanych napojów alkoholowych, takich jak: ""mieszane drinki"" itp., mieszanie alkoholi destylowanych, produkcję alkoholu etylowego, po przetworzeniu przeznaczonego do spożycia. Podklasa ta nie obejmuje: produkcji niedestylowanych napojów alkoholowych, sklasyfikowanej w 11.02.Z -11.06.Z, produkcji syntetycznego alkoholu etylowego oraz alkoholu etylowego pochodzenia rolniczego nieprzeznaczonego do spożycia, sklasyfikowanej w 20.14.Z, produkcji alkoholu etylowego z surowców poddanych fermentacji, sklasyfikowanej w 20.14.Z, butelkowania i etykietowania, sklasyfikowanych w 46.34.A (jeśli występuje w handlu hurtowym) i 82.92.Z (jeśli są wykonywane na zlecenie).";205;Destylowanie, rektyfikowanie i mieszanie alkoholi
11.02;Produkcja win gronowych;;206;Produkcja win gronowych
11.02.Z;Produkcja win gronowych;11.02.Z Podklasa ta obejmuje: produkcję win gronowych, produkcję gronowych win musujących, produkcję win gronowych z zagęszczonego moszczu winogronowego, mieszanie, oczyszczanie i butelkowanie win gronowych, produkcję win gronowych o niskiej zawartości alkoholu lub win bezalkoholowych. Podklasa ta nie obejmuje: butelkowania i etykietowania, sklasyfikowanego w 46.34.A (jeśli występuje w handlu hurtowym) i 82.92.Z (jeśli są wykonywane na zlecenie).;207;Produkcja win gronowych
11.03;Produkcja cydru i pozostałych win owocowych;;208;Produkcja cydru i pozostałych win owocowych
11.03.Z;Produkcja cydru i pozostałych win owocowych;11.03.Z Podklasa ta obejmuje: produkcję napojów alkoholowych otrzymywanych w wyniku fermentacji, ale bez ich destylowania: sake, cydr (jabłecznik), perry (wino gruszkowe) i inne wina owocowe, produkcję miodu pitnego i napojów mieszanych zawierających wina owocowe, włączając wyroby winopochodne i winopodobne. Podklasa ta nie obejmuje: butelkowania i etykietowania, sklasyfikowanych w 46.34.A (jeśli występują w handlu hurtowym) i 82.92.Z (jeśli są wykonywane na zlecenie).;209;Produkcja cydru i pozostałych win owocowych
11.04;Produkcja pozostałych niedestylowanych napojów fermentowanych;;210;Produkcja pozostałych niedestylowanych napojów fermentowanych
11.04.Z;Produkcja pozostałych niedestylowanych napojów fermentowanych;11.04.Z Podklasa ta obejmuje: produkcję wermutu i podobnych niedestylowanych napojów fermentowanych. Podklasa ta nie obejmuje: butelkowania i etykietowania, sklasyfikowanych w 46.34.A (jeśli występuje w handlu hurtowym) i 82.92.Z (jeśli są wykonywane na zlecenie).;211;Produkcja pozostałych niedestylowanych napojów fermentowanych
11.05;Produkcja piwa;;212;Produkcja piwa
11.05.Z;Produkcja piwa;11.05.Z Podklasa ta obejmuje: produkcję mocnego piwa na bazie słodu (np. ale, porter i stout), produkcję piwa niskoalkoholowego lub bezalkoholowego.;213;Produkcja piwa
11.06;Produkcja słodu;;214;Produkcja słodu
11.06.Z;Produkcja słodu;;215;Produkcja słodu
11.07;"Produkcja napojów bezalkoholowych; produkcja wód mineralnych i pozostałych wód butelkowanych";;216;"Produkcja napojów bezalkoholowych; produkcja wód mineralnych i pozostałych wód butelkowanych"
11.07.Z;"Produkcja napojów bezalkoholowych; produkcja wód mineralnych i pozostałych wód butelkowanych";11.07.Z Podklasa ta obejmuje: produkcję naturalnych wód mineralnych i pozostałych wód butelkowanych, produkcję napojów bezalkoholowych (z wyłączeniem bezalkoholowego piwa i wina), takich jak: aromatyzowane i/lub słodzone wody bezalkoholowe: lemoniady, oranżady, cole, napoje owocowe, toniki itp. Podklasa ta nie obejmuje: produkcji soków z owoców i warzyw, sklasyfikowanej w 10.32.Z, produkcji napojów na bazie mleka, sklasyfikowanej w 10.51.Z, produkcji kawy, herbaty i maté (herbaty paragwajskiej), sklasyfikowanej w 10.83.Z, produkcji napojów na bazie alkoholu, sklasyfikowanej w 11.01.Z, 11.02.Z, 11.03.Z, 11.04.Z, 11.05.Z, produkcji bezalkoholowego wina, sklasyfikowanej w 11.02.Z, produkcji bezalkoholowego piwa, sklasyfikowanej w 11.05.Z, produkcji lodu, sklasyfikowanej w 35.30.Z, butelkowania i etykietowania, sklasyfikowanych w 46.34.B (jeśli występuje w handlu hurtowym) i 82.92.Z (jeśli są wykonywane na zlecenie).;217;"Produkcja napojów bezalkoholowych; produkcja wód mineralnych i pozostałych wód butelkowanych"
12.00;PRODUKCJA WYROBÓW TYTONIOWYCH;;220;PRODUKCJA WYROBÓW TYTONIOWYCH
12.00.Z;PRODUKCJA WYROBÓW TYTONIOWYCH;12.00.Z Podklasa ta obejmuje: wstępne przetwarzanie surowca tytoniowego, tzn. przygotowanie do dalszego przerobu przez producentów wyrobów tytoniowych surowca tytoniowego, polegające w szczególności na odżyłowaniu, cięciu, nasączaniu lub dosuszaniu blaszki liściowej, produkcję wyrobów tytoniowych i wyrobów będących substytutami tytoniu: papierosów, tytoniu do ręcznego sporządzania papierosów, cygar, tytoniu fajkowego, tytoniu do żucia, tabaki, produkcję tytoniu ?homogenizowanego? lub ?odtworzonego?. Podklasa ta nie obejmuje: uprawy tytoniu, sklasyfikowanej w 01.15.Z, suszenia liści tytoniu, sklasyfikowanego w 01.63.Z.;221;PRODUKCJA WYROBÓW TYTONIOWYCH
13.10;Przygotowanie i przędzenie włókien tekstylnych;;224;Przygotowanie i przędzenie włókien tekstylnych
13.10.A;Produkcja przędzy bawełnianej;13.10.A Podklasa ta obejmuje: przygotowywanie włókien: zgrzeblenie, czesanie włókien bawełnianych, wytwarzanie przędzy bawełnianej, zarówno w całości z bawełny, jak i z udziałem innych włókien tekstylnych, dla celów dziewiarskich, tkackich itp. Podklasa ta nie obejmuje: czynności związanych z przygotowaniem włókien, wykonywanych w ramach działalności rolniczej, sklasyfikowanych w odpowiednich podklasach działu 01, odziarniania bawełny, sklasyfikowanego w 01.63.Z, produkcji włókien i pakuł syntetycznych lub sztucznych oraz wytwarzania pojedynczych przędz (włączając przędzę o dużej wytrzymałości i do produkcji dywanów), z włókien syntetycznych lub sztucznych, sklasyfikowanych w 20.60.Z.;225;Produkcja przędzy bawełnianej
13.10.B;Produkcja przędzy wełnianej;13.10.B Podklasa ta obejmuje: przygotowanie włókien: pranie, karbonizacja, zgrzeblenie, czesanie wełny, wytwarzanie przędzy wełnianej (czesankowej i zgrzebnej), zarówno w całości z wełny, jak i z udziałem innych włókien tekstylnych, dla celów dziewiarskich, tkackich itp. Podklasa ta nie obejmuje: czynności przygotowania włókien, wykonywanych w ramach działalności rolniczej, sklasyfikowanych w odpowiednich podklasach działu 01, produkcji włókien i pakuł syntetycznych lub sztucznych oraz wytwarzania pojedynczych przędz (włączając przędzę o dużej wytrzymałości i do produkcji dywanów), z włókien syntetycznych lub sztucznych, sklasyfikowanych w 20.60.Z.;226;Produkcja przędzy wełnianej
